t_sched,t_actual,jitter_ns,tau_des_Nm,q_deg,dq_deg_s,ads_voltage,gait_phase,rise_time,peak_time,fall_time,stride1,stride2,stride3,stride4,stride5
270.4519958496094,270.4519958496094,3416.0,0.0,-14612.62890625,-924.1727905273438,2.2170000076293945,0.15476194024085999,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4540100097656,270.4540100097656,4303.0,0.0,-14614.396484375,-916.6194458007812,2.1887500286102295,0.1571439504623413,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.45599365234375,270.45599365234375,3652.0,0.0,-14616.1904296875,-880.4078979492188,2.1781251430511475,0.1595241278409958,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4580078125,270.4580078125,3668.0,0.0,-14617.931640625,-877.0755615234375,2.1520001888275146,0.16190509498119354,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4599914550781,270.4599914550781,3536.0,0.0,-14619.6201171875,-896.8475341796875,2.1520001888275146,0.16428589820861816,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4620056152344,270.4620056152344,3053.0,0.0,-14621.34375,-887.9612426757812,2.126875162124634,0.16666626930236816,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4639892578125,270.4639892578125,3365.0,0.0,-14623.0498046875,-841.7525634765625,2.1045000553131104,0.16904759407043457,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.46600341796875,270.46600341796875,3585.0,0.0,-14624.755859375,-876.8533935546875,2.074125051498413,0.17142881453037262,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4679870605469,270.468017578125,4046.0,0.0,-14626.4794921875,-873.7431640625,2.0420000553131104,0.17381031811237335,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4700012207031,270.4700012207031,3895.0,0.0,-14628.1591796875,-869.522216796875,2.0133750438690186,0.17619109153747559,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.47198486328125,270.4720153808594,3152.0,0.0,-14629.7587890625,-822.6470947265625,1.9778751134872437,0.17857114970684052,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4739990234375,270.4739990234375,3280.0,0.0,-14631.4912109375,-866.4119873046875,1.9778751134872437,0.1809522658586502,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.47601318359375,270.47601318359375,3592.0,0.0,-14633.046875,-837.3094482421875,1.948625087738037,0.18333357572555542,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4779968261719,270.4779968261719,3349.0,0.0,-14634.744140625,-816.6488037109375,1.9130001068115234,0.1857142448425293,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4800109863281,270.4800109863281,3661.0,0.0,-14636.4677734375,-813.7608032226562,1.8826251029968262,0.1880955696105957,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.48199462890625,270.48199462890625,3622.0,0.0,-14638.0947265625,-805.0966796875,1.8512500524520874,0.19047647714614868,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4840087890625,270.4840087890625,3990.0,0.0,-14639.6416015625,-812.2056884765625,1.8200000524520874,0.19285786151885986,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4859924316406,270.4859924316406,5266.0,0.0,-14641.2587890625,-786.6576538085938,1.8200000524520874,0.1952403336763382,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4880065917969,270.4880065917969,3560.0,0.0,-14642.8408203125,-779.3264770507812,1.783750057220459,0.1976192593574524,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.489990234375,270.489990234375,3298.0,0.0,-14644.40625,-769.773681640625,1.7535001039505005,0.19999989867210388,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.49200439453125,270.49200439453125,5444.0,0.0,-14645.970703125,-765.9970092773438,1.7208750247955322,0.2023833990097046,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4939880371094,270.4940185546875,4145.0,0.0,-14647.4912109375,-781.1036987304688,1.6882500648498535,0.20476281642913818,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.4960021972656,270.4960021972656,3699.0,0.0,-14649.0556640625,-776.2162475585938,1.6498750448226929,0.20714323222637177,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.49798583984375,270.4980163574219,3493.0,0.0,-14650.548828125,-789.767822265625,1.611375093460083,0.20952394604682922,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.5,270.5,3453.0,0.0,-14652.060546875,-783.3252563476562,1.611375093460083,0.211904838681221,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
270.50201416015625,270.50201416015625,3266.0,0.0,-14653.5986328125,-756.22216796875,1.5791250467300415,0.21428558230400085,0.699999988079071,0.800000011920929,0.10000000149011612,0.7380001544952393,0.8779997825622559,0.9200001955032349,0.8160005211830139,0.8479993343353271
